year,ageb_id,prec,runoff
1993.0,5959.0,135771.61209500002,0.0
1993.0,5960.0,158655.222924,0.0
1993.0,5961.0,140304.709109,0.0
1993.0,5962.0,177297.809724,0.0
1993.0,5963.0,138634.053759,0.0
1993.0,5964.0,111812.15543900001,0.0
1993.0,5965.0,559366.618571,0.0
1993.0,5966.0,620066.007735,0.0
1993.0,5967.0,253041.97783299998,0.0
1993.0,5968.0,442737.878858,0.0
1993.0,5969.0,143525.02653099998,0.0
1993.0,5970.0,93800.35656849999,0.0
1993.0,5971.0,372522.167219,0.0
1993.0,5972.0,367237.236607,0.0
1993.0,5973.0,186371.852415,0.0
1993.0,5974.0,138436.918022,0.0
1993.0,5975.0,262790.437666,0.0
1993.0,5976.0,432835.503533,0.0
1993.0,5977.0,207440.66803499998,0.0
1993.0,5978.0,147159.090875,0.0
1993.0,5979.0,210098.177964,0.0
1993.0,5980.0,214530.240012,0.0
1993.0,5981.0,211660.24467000001,0.0
1993.0,5982.0,171519.52346700002,0.0
1993.0,5983.0,269090.89251599996,0.0
1993.0,5984.0,183701.271153,0.0
1993.0,5985.0,303230.397438,0.0
1993.0,5986.0,261838.035633,0.0
1993.0,5987.0,1068883.45677,0.0
1993.0,5988.0,115865.30078199999,0.0
1993.0,5989.0,175727.466076,0.0
1993.0,5990.0,134188.251666,0.0
1993.0,5991.0,148079.92408199998,0.0
1993.0,5992.0,158476.518002,0.0
1993.0,5993.0,202308.340032,0.0
1993.0,5994.0,220768.416646,0.0
1993.0,5995.0,182639.800845,0.0
1993.0,5996.0,241099.93536,0.0
1993.0,5997.0,276792.617236,0.0
1993.0,5998.0,163951.57125,0.0
1993.0,5999.0,254438.67948800002,0.0
1993.0,6000.0,244157.066089,0.0
1993.0,6001.0,185207.002165,0.0
1993.0,6002.0,310799.896521,0.0
1993.0,6003.0,160140.503716,0.0
1993.0,6004.0,115221.348591,0.0
1993.0,6005.0,112914.151721,0.0
1993.0,6006.0,165589.827425,0.0
1993.0,6007.0,158032.238632,0.0
1993.0,6008.0,132192.933361,0.0
1993.0,6009.0,124998.522152,0.0
1993.0,6010.0,145868.307995,0.0
1993.0,6011.0,339196.887672,0.0
1993.0,6012.0,356001.862164,0.0
1993.0,6013.0,334713.301094,0.0
1993.0,6014.0,307014.841486,0.0
1993.0,6015.0,304556.01506,0.0
1993.0,6016.0,197992.407027,0.0
1993.0,6017.0,168830.871597,0.0
1993.0,6018.0,256186.003622,0.0
1993.0,6019.0,184592.35080699998,0.0
1993.0,6020.0,135664.42949100002,0.0
1993.0,6021.0,77608.54605739999,0.0
1993.0,6022.0,420127.681776,0.0
1993.0,6023.0,100450.923826,0.0
1993.0,6024.0,183150.568011,0.0
1993.0,6025.0,241821.15547399997,0.0
1993.0,6026.0,120596.49173800001,0.0
1993.0,6027.0,148314.358779,0.0
1993.0,6028.0,344821.909018,0.0
1993.0,6029.0,171972.8199,0.0
1993.0,6030.0,206147.416007,0.0
1993.0,6031.0,187865.85595599998,0.0
1993.0,6032.0,1665109.93425,0.0
1993.0,6033.0,1488842.6982,0.0
1993.0,6034.0,41136.880933,0.0
1993.0,6035.0,57383.18961469999,0.0
1993.0,6036.0,114848.608294,0.0
1993.0,6037.0,823515.466832,0.0
1993.0,6038.0,552287.20317,0.0
1993.0,6039.0,94005.8918014,0.0
1993.0,6040.0,185071.85776800002,0.0
1993.0,6041.0,182432.66317,0.0
1993.0,6042.0,77193.43474239999,0.0
1993.0,6043.0,53201.369614699994,0.0
1993.0,6044.0,272415.17529499996,0.0
1993.0,6045.0,59674.600663100005,0.0
1993.0,6046.0,520187.58807,0.0
1993.0,6047.0,251844.769377,0.0
1993.0,6048.0,244025.37559299998,0.0
1993.0,6049.0,164110.94067,0.0
1993.0,6050.0,42517.9058694,0.0
1993.0,6051.0,281855.043323,0.0
1993.0,6052.0,157405.006756,0.0
1993.0,6053.0,211321.865426,0.0
1993.0,6054.0,125484.844849,0.0
1993.0,6055.0,109916.59357000001,0.0
1993.0,6056.0,62712.95007969999,0.0
1993.0,6057.0,56695.7329405,0.0
1993.0,6058.0,161576.771982,0.0
1993.0,6059.0,1389088.82932,0.0
1993.0,6060.0,56146.6540596,0.0
1993.0,6061.0,37845.1052977,0.0
1993.0,6062.0,473994.39538999996,0.0
1993.0,6063.0,177708.05129,0.0
1993.0,6064.0,201813.52135999998,0.0
1993.0,6065.0,311557.026618,0.0
1993.0,6066.0,322214.791213,0.0
1993.0,6067.0,386696.505923,0.0
1993.0,6068.0,934919.8293059999,0.0
1993.0,6069.0,202373.34495899998,0.0
