"","R1800"
"002",4.36893203883495
"003",3.69230769230769
"004",3.87096774193548
"005",3.46732026143791
"006",2.66363636363636
"007",3.88864628820961
"008",3.84615384615385
"009",4.23809523809524
"010",3.58291457286432
"011",4.3302752293578
"012",4.04390243902439
"013",4.08264462809917
"014",2.62745098039216
"015",2.83660130718954
"016",3.6
"017",2.80794701986755
