"","R1000"
"002",3.14563106796116
"003",2.28205128205128
"004",3.61290322580645
"005",2.33660130718954
"006",1.51818181818182
"007",2.80786026200873
"008",2.73076923076923
"009",4.76190476190476
"010",2.7035175879397
"011",5
"012",4.34146341463415
"013",4.75206611570248
"014",1.03921568627451
"015",1.73856209150327
"016",2.33076923076923
"017",1.51655629139073
