"","R500"
"002",2.06796116504854
"003",1.32051282051282
"004",2.12903225806452
"005",1.43464052287582
"006",1.07272727272727
"007",1.5938864628821
"008",1.69230769230769
"009",3.45238095238095
"010",1.69346733668342
"011",3.81651376146789
"012",3.22439024390244
"013",4.20661157024793
"014",1
"015",1.45751633986928
"016",1.72307692307692
"017",1.23841059602649
