"","R250"
"002",1.51456310679612
"003",1.12179487179487
"004",1.32258064516129
"005",1.14705882352941
"006",1
"007",1.21397379912664
"008",1.13461538461538
"009",2.04761904761905
"010",1.20100502512563
"011",2.60550458715596
"012",2.1609756097561
"013",2.90909090909091
"014",1
"015",1.06535947712418
"016",1.28461538461538
"017",1.2317880794702
