year,censusblock_id,prec,prec_v,runoff
1993.0,5959.0,793.180762916,130280.126078,0.0
1993.0,5960.0,793.8477125019998,152243.348412,0.0
1993.0,5961.0,744.8449955860001,134277.434014,0.0
1993.0,5962.0,791.1668953669998,170109.22105999998,0.0
1993.0,5963.0,744.8449955860001,132678.547455,0.0
1993.0,5964.0,790.4735753030002,107274.885801,0.0
1993.0,5965.0,793.8477125019998,536760.438338,0.0
1993.0,5966.0,793.8477125019998,595006.729147,0.0
1993.0,5967.0,793.8477125019998,242815.567519,0.0
1993.0,5968.0,744.8449955860001,423718.538681,0.0
1993.0,5969.0,790.3549494839999,137700.029086,0.0
1993.0,5970.0,793.8477125019998,90009.5194035,0.0
1993.0,5971.0,793.8477125019998,357467.0978360001,0.0
1993.0,5972.0,793.816510045,352395.192025,0.0
1993.0,5973.0,793.8477125019998,178839.841125,0.0
1993.0,5974.0,785.988792549,132788.485451,0.0
1993.0,5975.0,788.0903608210001,252095.625094,0.0
1993.0,5976.0,735.4478209069998,414014.301253,0.0
1993.0,5977.0,748.9053513839999,198575.585126,0.0
1993.0,5978.0,793.33772104,141208.151207,0.0
1993.0,5979.0,746.7679341060001,201094.927357,0.0
1993.0,5980.0,764.4054189330002,205540.293658,0.0
1993.0,5981.0,737.528240748,202481.352598,0.0
1993.0,5982.0,745.983408958,164162.069812,0.0
1993.0,5983.0,737.528240748,257421.453771,0.0
1993.0,5984.0,737.528240748,175734.852404,0.0
1993.0,5985.0,739.69473327,290117.308757,0.0
1993.0,5986.0,737.528240748,250483.125441,0.0
1993.0,5987.0,740.824305742,1022727.4148,0.0
1993.0,5988.0,737.528240748,110840.66759,0.0
1993.0,5989.0,737.528240748,168106.840635,0.0
1993.0,5990.0,737.528240748,128369.022452,0.0
1993.0,5991.0,737.528240748,141658.266376,0.0
1993.0,5992.0,737.528240748,151603.999939,0.0
1993.0,5993.0,737.528240748,193535.004154,0.0
1993.0,5994.0,737.528240748,211194.538129,0.0
1993.0,5995.0,754.610135834,174891.09888499998,0.0
1993.0,5996.0,737.528240748,230644.356946,0.0
1993.0,5997.0,737.528240748,264789.18426300003,0.0
1993.0,5998.0,737.528240748,156841.621151,0.0
1993.0,5999.0,737.528240748,243404.650959,0.0
1993.0,6000.0,737.528240748,233568.911654,0.0
1993.0,6001.0,737.528240748,177175.28564400005,0.0
1993.0,6002.0,737.528240748,297321.698427,0.0
1993.0,6003.0,737.528240748,153195.824982,0.0
1993.0,6004.0,737.528240748,110224.641133,0.0
1993.0,6005.0,737.528240748,108017.498532,0.0
1993.0,6006.0,747.189829901,158497.709894,0.0
1993.0,6007.0,712.91827055,150953.01033599998,0.0
1993.0,6008.0,712.91827055,126271.205222,0.0
1993.0,6009.0,712.91827055,119399.075592,0.0
1993.0,6010.0,712.91827055,139333.976378,0.0
1993.0,6011.0,738.345849648,324502.80426,0.0
1993.0,6012.0,754.1865857089999,340889.95472800004,0.0
1993.0,6013.0,737.528240748,320198.070468,0.0
1993.0,6014.0,737.528240748,293700.786695,0.0
1993.0,6015.0,737.528240748,291348.59013,0.0
1993.0,6016.0,737.528240748,189406.236591,0.0
1993.0,6017.0,737.528240748,161509.324978,0.0
1993.0,6018.0,737.528240748,245076.200355,0.0
1993.0,6019.0,737.528240748,176587.289355,0.0
1993.0,6020.0,737.528240748,129781.184112,0.0
1993.0,6021.0,737.528240748,74242.9614184,0.0
1993.0,6022.0,737.528240748,401908.357436,0.0
1993.0,6023.0,737.528240748,96094.7529737,0.0
1993.0,6024.0,737.7523007130002,175210.338764,0.0
1993.0,6025.0,737.528240748,231334.300513,0.0
1993.0,6026.0,737.528240748,115366.68496199998,0.0
1993.0,6027.0,737.528240748,141882.53454000002,0.0
1993.0,6028.0,737.528240748,329868.306881,0.0
1993.0,6029.0,737.528240748,164515.019047,0.0
1993.0,6030.0,737.528240748,197207.594145,0.0
1993.0,6031.0,737.528240748,179718.835156,0.0
1993.0,6032.0,781.210259786,1596772.45145,0.0
1993.0,6033.0,738.653392936,1424371.39757,0.0
1993.0,6034.0,737.528240748,39352.9323655,0.0
1993.0,6035.0,737.528240748,54894.70102280001,0.0
1993.0,6036.0,793.8477125019998,110207.129428,0.0
1993.0,6037.0,790.4919590789999,790098.452925,0.0
1993.0,6038.0,793.8477125019998,529967.129642,0.0
1993.0,6039.0,793.8477125019998,90206.7481583,0.0
1993.0,6040.0,744.8449955860001,177121.454633,0.0
1993.0,6041.0,792.5434260310001,175048.20755,0.0
1993.0,6042.0,793.8477125019998,74073.7478667,0.0
1993.0,6043.0,793.7153096530002,51050.9512221,0.0
1993.0,6044.0,790.588877116,261362.279051,0.0
1993.0,6045.0,737.528240748,57086.7423726,0.0
1993.0,6046.0,737.528240748,497629.049807,0.0
1993.0,6047.0,712.91827055,240563.105376,0.0
1993.0,6048.0,737.77649063,233446.338521,0.0
1993.0,6049.0,737.528240748,156994.079331,0.0
1993.0,6050.0,737.528240748,40674.0675533,0.0
1993.0,6051.0,739.2209116160001,269658.849493,0.0
1993.0,6052.0,712.91827055,150353.876004,0.0
1993.0,6053.0,738.9328828539999,202174.313802,0.0
1993.0,6054.0,793.8477125019998,120413.514303,0.0
1993.0,6055.0,793.8477125019998,105474.436597,0.0
1993.0,6056.0,737.528240748,59993.3302417,0.0
1993.0,6057.0,737.528240748,54237.0567048,0.0
1993.0,6058.0,793.8477125019998,155046.826312,0.0
1993.0,6059.0,793.8477125019998,1332950.34805,0.0
1993.0,6060.0,744.8449955860001,53734.6799224,0.0
1993.0,6061.0,744.8449955860001,36219.3376232,0.0
1993.0,6062.0,649.2358756159999,450780.577656,0.0
1993.0,6063.0,649.2358756159999,169004.82114100002,0.0
1993.0,6064.0,649.2358756159999,191929.728753,0.0
1993.0,6065.0,649.2358756159999,296298.559218,0.0
1993.0,6066.0,649.2358756159999,306434.361091,0.0
1993.0,6067.0,700.836665023,369088.987262,0.0
1993.0,6068.0,726.366293759,893780.3306809998,0.0
1993.0,6069.0,700.142506114,193149.924992,0.0
1993.0,6070.0,700.142506114,216802.19618000003,0.0
1993.0,6071.0,700.142506114,344425.46235700004,0.0
1993.0,6072.0,649.2358756159999,247392.777532,0.0
1993.0,6073.0,649.2358756159999,249984.193812,0.0
1993.0,6074.0,649.2358756159999,268167.69923800003,0.0
1993.0,6075.0,649.2358756159999,246898.003387,0.0
1993.0,6076.0,649.2358756159999,374761.068298,0.0
1993.0,6077.0,714.023707735,465700.090913,0.0
