year,ageb_id,prec,runoff
1993.0,5959.0,130280.126078,0.0
1993.0,5960.0,152243.348412,0.0
1993.0,5961.0,134277.434014,0.0
1993.0,5962.0,170109.22105999998,0.0
1993.0,5963.0,132678.547455,0.0
1993.0,5964.0,107274.885801,0.0
1993.0,5965.0,536760.438338,0.0
1993.0,5966.0,595006.729147,0.0
1993.0,5967.0,242815.567519,0.0
1993.0,5968.0,423718.538681,0.0
1993.0,5969.0,137700.029086,0.0
1993.0,5970.0,90009.5194035,0.0
1993.0,5971.0,357467.09783600003,0.0
1993.0,5972.0,352395.192025,0.0
1993.0,5973.0,178839.841125,0.0
1993.0,5974.0,132788.485451,0.0
1993.0,5975.0,252095.62509400002,0.0
1993.0,5976.0,414014.30125300004,0.0
1993.0,5977.0,198575.585126,0.0
1993.0,5978.0,141208.151207,0.0
1993.0,5979.0,201094.927357,0.0
1993.0,5980.0,205540.29365799998,0.0
1993.0,5981.0,202481.352598,0.0
1993.0,5982.0,164162.069812,0.0
1993.0,5983.0,257421.453771,0.0
1993.0,5984.0,175734.852404,0.0
1993.0,5985.0,290117.308757,0.0
1993.0,5986.0,250483.12544099998,0.0
1993.0,5987.0,1022727.4148,0.0
1993.0,5988.0,110840.66759000001,0.0
1993.0,5989.0,168106.840635,0.0
1993.0,5990.0,128369.022452,0.0
1993.0,5991.0,141658.26637599999,0.0
1993.0,5992.0,151603.999939,0.0
1993.0,5993.0,193535.004154,0.0
1993.0,5994.0,211194.538129,0.0
1993.0,5995.0,174891.09888499998,0.0
1993.0,5996.0,230644.356946,0.0
1993.0,5997.0,264789.18426300003,0.0
1993.0,5998.0,156841.621151,0.0
1993.0,5999.0,243404.65095900002,0.0
1993.0,6000.0,233568.911654,0.0
1993.0,6001.0,177175.28564400002,0.0
1993.0,6002.0,297321.698427,0.0
1993.0,6003.0,153195.824982,0.0
1993.0,6004.0,110224.641133,0.0
1993.0,6005.0,108017.498532,0.0
1993.0,6006.0,158497.709894,0.0
1993.0,6007.0,150953.01033599998,0.0
1993.0,6008.0,126271.205222,0.0
1993.0,6009.0,119399.07559200001,0.0
1993.0,6010.0,139333.976378,0.0
1993.0,6011.0,324502.80426,0.0
1993.0,6012.0,340889.95472800004,0.0
1993.0,6013.0,320198.07046799996,0.0
1993.0,6014.0,293700.78669499996,0.0
1993.0,6015.0,291348.59013,0.0
1993.0,6016.0,189406.23659100002,0.0
1993.0,6017.0,161509.324978,0.0
1993.0,6018.0,245076.200355,0.0
1993.0,6019.0,176587.289355,0.0
1993.0,6020.0,129781.18411199999,0.0
1993.0,6021.0,74242.9614184,0.0
1993.0,6022.0,401908.357436,0.0
1993.0,6023.0,96094.7529737,0.0
1993.0,6024.0,175210.33876400001,0.0
1993.0,6025.0,231334.30051300002,0.0
1993.0,6026.0,115366.68496199998,0.0
1993.0,6027.0,141882.53454000002,0.0
1993.0,6028.0,329868.306881,0.0
1993.0,6029.0,164515.019047,0.0
1993.0,6030.0,197207.594145,0.0
1993.0,6031.0,179718.835156,0.0
1993.0,6032.0,1596772.45145,0.0
1993.0,6033.0,1424371.39757,0.0
1993.0,6034.0,39352.9323655,0.0
1993.0,6035.0,54894.70102280001,0.0
1993.0,6036.0,110207.129428,0.0
1993.0,6037.0,790098.452925,0.0
1993.0,6038.0,529967.129642,0.0
1993.0,6039.0,90206.7481583,0.0
1993.0,6040.0,177121.454633,0.0
1993.0,6041.0,175048.20755,0.0
1993.0,6042.0,74073.7478667,0.0
1993.0,6043.0,51050.9512221,0.0
1993.0,6044.0,261362.27905100002,0.0
1993.0,6045.0,57086.7423726,0.0
1993.0,6046.0,497629.049807,0.0
1993.0,6047.0,240563.10537600002,0.0
1993.0,6048.0,233446.338521,0.0
1993.0,6049.0,156994.079331,0.0
1993.0,6050.0,40674.0675533,0.0
1993.0,6051.0,269658.84949299996,0.0
1993.0,6052.0,150353.876004,0.0
1993.0,6053.0,202174.313802,0.0
1993.0,6054.0,120413.514303,0.0
1993.0,6055.0,105474.436597,0.0
1993.0,6056.0,59993.330241699994,0.0
1993.0,6057.0,54237.0567048,0.0
1993.0,6058.0,155046.826312,0.0
1993.0,6059.0,1332950.34805,0.0
1993.0,6060.0,53734.6799224,0.0
1993.0,6061.0,36219.3376232,0.0
1993.0,6062.0,450780.57765600004,0.0
1993.0,6063.0,169004.82114100002,0.0
1993.0,6064.0,191929.728753,0.0
1993.0,6065.0,296298.559218,0.0
1993.0,6066.0,306434.36109099997,0.0
1993.0,6067.0,369088.987262,0.0
1993.0,6068.0,893780.3306809999,0.0
1993.0,6069.0,193149.92499200001,0.0
1993.0,6070.0,216802.19618000003,0.0
1993.0,6071.0,344425.46235700004,0.0
1993.0,6072.0,247392.777532,0.0
1993.0,6073.0,249984.19381199998,0.0
1993.0,6074.0,268167.69923800003,0.0
1993.0,6075.0,246898.00338699998,0.0
1993.0,6076.0,374761.068298,0.0
1993.0,6077.0,465700.090913,0.0
1993.0,6078.0,163205.79046199998,0.0
1993.0,6079.0,183178.11215899998,0.0
1993.0,6080.0,215345.189871,0.0
1993.0,6081.0,255080.487104,0.0
1993.0,6082.0,251429.854141,0.0
1993.0,6083.0,331586.13609,0.0
1993.0,6084.0,105569.316564,0.0
1993.0,6085.0,117575.298821,0.0
1993.0,6086.0,106959.297107,0.0
1993.0,6087.0,302497.781069,0.0
1993.0,6088.0,421165.716172,0.0
1993.0,6089.0,226877.74957199997,0.0
