year,ageb_id,prec,prec_vol,runoff
2000.0,5959.0,717.57202869,117954.383875,0.0
2000.0,5960.0,713.885255718,137016.28696700002,0.0
2000.0,5961.0,720.373014495,129968.130303,0.0
2000.0,5962.0,716.6526600889999,154209.486378,0.0
2000.0,5963.0,721.1101495910001,128552.077776,0.0
2000.0,5964.0,717.7676957460001,97484.8957887,0.0
2000.0,5965.0,709.333477033,479995.26645,0.0
2000.0,5966.0,704.294220682,528301.74527,0.0
2000.0,5967.0,706.819785717,216367.243871,0.0
2000.0,5968.0,728.736981658,414882.079639,0.0
2000.0,5969.0,719.4633807660001,125447.877638,0.0
2000.0,5970.0,721.9486106969999,81921.9093349,0.0
2000.0,5971.0,716.1241414010001,322723.161845,0.0
2000.0,5972.0,715.322494611,317800.773271,0.0
2000.0,5973.0,709.888224013,160051.750381,0.0
2000.0,5974.0,711.930785207,120371.957177,0.0
2000.0,5975.0,706.6498804710001,226223.38351100002,0.0
2000.0,5976.0,735.022243061,414103.365644,0.0
2000.0,5977.0,729.599623036,193609.24381400002,0.0
2000.0,5978.0,720.9660480189999,128427.88107999999,0.0
2000.0,5979.0,722.867356109,194812.56163399998,0.0
2000.0,5980.0,716.748132692,192878.02558299998,0.0
2000.0,5981.0,719.774078423,197763.276688,0.0
2000.0,5982.0,714.427238592,157342.117938,0.0
2000.0,5983.0,714.175537492,249467.834985,0.0
2000.0,5984.0,710.2568583489999,169370.785223,0.0
2000.0,5985.0,706.955577045,277496.169145,0.0
2000.0,5986.0,709.4321543130001,241131.77096700002,0.0
2000.0,5987.0,705.06344375,974129.631767,0.0
2000.0,5988.0,701.767960619,105550.061358,0.0
2000.0,5989.0,699.2700057,159513.027742,0.0
2000.0,5990.0,695.525640877,121154.466185,0.0
2000.0,5991.0,696.921544753,133965.086743,0.0
2000.0,5992.0,695.5875186769999,143096.282428,0.0
2000.0,5993.0,694.28991127,182333.551412,0.0
2000.0,5994.0,726.725505174,208265.441482,0.0
2000.0,5995.0,731.624001477,169697.544517,0.0
2000.0,5996.0,717.3033245180001,224496.91410300002,0.0
2000.0,5997.0,719.659824967,258578.37877399998,0.0
2000.0,5998.0,713.7690421760001,151909.15763099998,0.0
2000.0,5999.0,712.899370282,235462.71602800002,0.0
2000.0,6000.0,713.520100123,226144.71233200002,0.0
2000.0,6001.0,710.7402841439999,170875.314854,0.0
2000.0,6002.0,701.7469094080001,283121.53374,0.0
2000.0,6003.0,697.18375241,144930.668606,0.0
2000.0,6004.0,697.2046955960001,104280.987893,0.0
2000.0,6005.0,695.741547437,101978.42167699999,0.0
2000.0,6006.0,693.854657305,147300.919035,0.0
2000.0,6007.0,747.6402486589999,158429.700506,0.0
2000.0,6008.0,749.121820987,132788.060481,0.0
2000.0,6009.0,751.907713945,126028.176029,0.0
2000.0,6010.0,755.676532512,147807.049367,0.0
2000.0,6011.0,739.458038493,325247.922907,0.0
2000.0,6012.0,733.702403714,331892.893567,0.0
2000.0,6013.0,726.54813284,315680.355423,0.0
2000.0,6014.0,719.7258920730001,286838.278074,0.0
2000.0,6015.0,724.3411107860001,286365.52593400003,0.0
2000.0,6016.0,717.6485099380001,184446.715253,0.0
2000.0,6017.0,719.0690516010001,157591.68245,0.0
2000.0,6018.0,713.760782271,237366.152321,0.0
2000.0,6019.0,707.8898859139999,169625.297218,0.0
2000.0,6020.0,704.6044120989999,124085.957331,0.0
2000.0,6021.0,704.216447047,70945.860611,0.0
2000.0,6022.0,699.014771379,381223.278223,0.0
