,year,ageb_id,prec,runoff
0,1993.0,5959.0,793.180762916,0.0
1,1993.0,5960.0,793.847712502,0.0
2,1993.0,5961.0,744.844995586,0.0
3,1993.0,5962.0,791.166895367,0.0
4,1993.0,5963.0,744.844995586,0.0
5,1993.0,5964.0,790.473575303,0.0
6,1993.0,5965.0,793.847712502,0.0
7,1993.0,5966.0,793.847712502,0.0
8,1993.0,5967.0,793.847712502,0.0
9,1993.0,5968.0,744.844995586,0.0
10,1993.0,5969.0,790.354949484,0.0
11,1993.0,5970.0,793.847712502,0.0
12,1993.0,5971.0,793.847712502,0.0
13,1993.0,5972.0,793.816510045,0.0
14,1993.0,5973.0,793.847712502,0.0
15,1993.0,5974.0,785.988792549,0.0
16,1993.0,5975.0,788.090360821,0.0
17,1993.0,5976.0,735.447820907,0.0
18,1993.0,5977.0,748.905351384,0.0
19,1993.0,5978.0,793.33772104,0.0
20,1993.0,5979.0,746.767934106,0.0
21,1993.0,5980.0,764.405418933,0.0
22,1993.0,5981.0,737.528240748,0.0
23,1993.0,5982.0,745.983408958,0.0
24,1993.0,5983.0,737.528240748,0.0
25,1993.0,5984.0,737.528240748,0.0
26,1993.0,5985.0,739.69473327,0.0
27,1993.0,5986.0,737.528240748,0.0
28,1993.0,5987.0,740.824305742,0.0
29,1993.0,5988.0,737.528240748,0.0
30,1993.0,5989.0,737.528240748,0.0
31,1993.0,5990.0,737.528240748,0.0
32,1993.0,5991.0,737.528240748,0.0
33,1993.0,5992.0,737.528240748,0.0
34,1993.0,5993.0,737.528240748,0.0
35,1993.0,5994.0,737.528240748,0.0
36,1993.0,5995.0,754.610135834,0.0
37,1993.0,5996.0,737.528240748,0.0
38,1993.0,5997.0,737.528240748,0.0
39,1993.0,5998.0,737.528240748,0.0
40,1993.0,5999.0,737.528240748,0.0
41,1993.0,6000.0,737.528240748,0.0
42,1993.0,6001.0,737.528240748,0.0
43,1993.0,6002.0,737.528240748,0.0
44,1993.0,6003.0,737.528240748,0.0
45,1993.0,6004.0,737.528240748,0.0
46,1993.0,6005.0,737.528240748,0.0
47,1993.0,6006.0,747.189829901,0.0
48,1993.0,6007.0,712.91827055,0.0
49,1993.0,6008.0,712.91827055,0.0
50,1993.0,6009.0,712.91827055,0.0
51,1993.0,6010.0,712.91827055,0.0
52,1993.0,6011.0,738.345849648,0.0
53,1993.0,6012.0,754.186585709,0.0
54,1993.0,6013.0,737.528240748,0.0
55,1993.0,6014.0,737.528240748,0.0
56,1993.0,6015.0,737.528240748,0.0
57,1993.0,6016.0,737.528240748,0.0
58,1993.0,6017.0,737.528240748,0.0
59,1993.0,6018.0,737.528240748,0.0
60,1993.0,6019.0,737.528240748,0.0
61,1993.0,6020.0,737.528240748,0.0
62,1993.0,6021.0,737.528240748,0.0
63,1993.0,6022.0,737.528240748,0.0
64,1993.0,6023.0,737.528240748,0.0
65,1993.0,6024.0,737.752300713,0.0
66,1993.0,6025.0,737.528240748,0.0
67,1993.0,6026.0,737.528240748,0.0
68,1993.0,6027.0,737.528240748,0.0
69,1993.0,6028.0,737.528240748,0.0
70,1993.0,6029.0,737.528240748,0.0
71,1993.0,6030.0,737.528240748,0.0
72,1993.0,6031.0,737.528240748,0.0
73,1993.0,6032.0,781.210259786,0.0
74,1993.0,6033.0,738.653392936,0.0
75,1993.0,6034.0,737.528240748,0.0
76,1993.0,6035.0,737.528240748,0.0
77,1993.0,6036.0,793.847712502,0.0
78,1993.0,6037.0,790.491959079,0.0
79,1993.0,6038.0,793.847712502,0.0
80,1993.0,6039.0,793.847712502,0.0
81,1993.0,6040.0,744.844995586,0.0
82,1993.0,6041.0,792.543426031,0.0
83,1993.0,6042.0,793.847712502,0.0
84,1993.0,6043.0,793.715309653,0.0
85,1993.0,6044.0,790.588877116,0.0
86,1993.0,6045.0,737.528240748,0.0
87,1993.0,6046.0,737.528240748,0.0
88,1993.0,6047.0,712.91827055,0.0
89,1993.0,6048.0,737.77649063,0.0
90,1993.0,6049.0,737.528240748,0.0
91,1993.0,6050.0,737.528240748,0.0
92,1993.0,6051.0,739.220911616,0.0
93,1993.0,6052.0,712.91827055,0.0
94,1993.0,6053.0,738.932882854,0.0
95,1993.0,6054.0,793.847712502,0.0
96,1993.0,6055.0,793.847712502,0.0
97,1993.0,6056.0,737.528240748,0.0
98,1993.0,6057.0,737.528240748,0.0
99,1993.0,6058.0,793.847712502,0.0
100,1993.0,6059.0,793.847712502,0.0
101,1993.0,6060.0,744.844995586,0.0
102,1993.0,6061.0,744.844995586,0.0
103,1993.0,6062.0,649.235875616,0.0
104,1993.0,6063.0,649.235875616,0.0
105,1993.0,6064.0,649.235875616,0.0
106,1993.0,6065.0,649.235875616,0.0
107,1993.0,6066.0,649.235875616,0.0
108,1993.0,6067.0,700.836665023,0.0
109,1993.0,6068.0,726.366293759,0.0
110,1993.0,6069.0,700.142506114,0.0
111,1993.0,6070.0,700.142506114,0.0
112,1993.0,6071.0,700.142506114,0.0
113,1993.0,6072.0,649.235875616,0.0
114,1993.0,6073.0,649.235875616,0.0
115,1993.0,6074.0,649.235875616,0.0
116,1993.0,6075.0,649.235875616,0.0
117,1993.0,6076.0,649.235875616,0.0
118,1993.0,6077.0,714.023707735,0.0
119,1993.0,6078.0,700.142506114,0.0
120,1993.0,6079.0,700.142506114,0.0
121,1993.0,6080.0,700.142506114,0.0
122,1993.0,6081.0,700.142506114,0.0
123,1993.0,6082.0,700.142506114,0.0
124,1993.0,6083.0,700.142506114,0.0
125,1993.0,6084.0,649.235875616,0.0
126,1993.0,6085.0,649.235875616,0.0
127,1993.0,6086.0,649.235875616,0.0
128,1993.0,6087.0,649.235875616,0.0
129,1993.0,6088.0,649.235875616,0.0
130,1993.0,6089.0,649.235875616,0.0
131,1993.0,6090.0,705.162610862,0.0
132,1993.0,6091.0,700.142506114,0.0
133,1993.0,6092.0,700.142506114,0.0
134,1993.0,6093.0,700.142506114,0.0
135,1993.0,6094.0,700.142506114,0.0
136,1993.0,6095.0,649.235875616,0.0
137,1993.0,6096.0,649.235875616,0.0
138,1993.0,6097.0,649.235875616,0.0
139,1993.0,6098.0,649.235875616,0.0
140,1993.0,6099.0,649.235875616,0.0
141,1993.0,6100.0,649.235875616,0.0
142,1993.0,6101.0,649.235875616,0.0
143,1993.0,6102.0,649.235875616,0.0
144,1993.0,6103.0,649.235875616,0.0
145,1993.0,6104.0,649.235875616,0.0
146,1993.0,6105.0,718.769040848,0.0
147,1993.0,6106.0,700.142506114,0.0
148,1993.0,6107.0,700.142506114,0.0
149,1993.0,6108.0,700.142506114,0.0
150,1993.0,6109.0,700.142506114,0.0
151,1993.0,6110.0,700.142506114,0.0
152,1993.0,6111.0,700.142506114,0.0
153,1993.0,6112.0,649.235875616,0.0
154,1993.0,6113.0,649.235875616,0.0
155,1993.0,6114.0,649.235875616,0.0
156,1993.0,6115.0,700.142506114,0.0
157,1993.0,6116.0,700.142506114,0.0
158,1993.0,6117.0,649.235875616,0.0
159,1993.0,6118.0,649.235875616,0.0
160,1993.0,6119.0,649.235875616,0.0
161,1993.0,6120.0,663.779686616,0.0
162,1993.0,6121.0,651.400683294,0.0
163,1993.0,6122.0,649.235875616,0.0
164,1993.0,6123.0,716.574573987,0.0
165,1993.0,6124.0,718.171971202,0.0
166,1993.0,6125.0,701.148965621,0.0
167,1993.0,6126.0,700.142506114,0.0
168,1993.0,6127.0,700.142506114,0.0
169,1993.0,6128.0,700.142506114,0.0
170,1993.0,6129.0,687.302154798,0.0
171,1993.0,6130.0,655.154290738,0.0
172,1993.0,6131.0,726.66840201,0.0
173,1993.0,6132.0,664.547779616,0.0
174,1993.0,6133.0,712.379098735,0.0
175,1993.0,6134.0,726.66840201,0.0
176,1993.0,6135.0,722.874080692,0.0
177,1993.0,6136.0,721.059784497,0.0
178,1993.0,6137.0,733.048016051,0.0
179,1993.0,6138.0,719.088068793,0.0
180,1993.0,6139.0,739.920212571,0.0
181,1993.0,6140.0,740.435234719,0.0
182,1993.0,6141.0,732.830372374,0.0
183,1993.0,6142.0,740.435234719,0.0
184,1993.0,6143.0,727.968190694,0.0
185,1993.0,6144.0,726.66840201,0.0
186,1993.0,6145.0,726.66840201,0.0
187,1993.0,6146.0,726.66840201,0.0
188,1993.0,6147.0,726.66840201,0.0
189,1993.0,6148.0,726.66840201,0.0
190,1993.0,6149.0,737.128430555,0.0
191,1993.0,6150.0,740.435234719,0.0
192,1993.0,6151.0,740.435234719,0.0
193,1993.0,6152.0,740.435234719,0.0
194,1993.0,6153.0,740.435234719,0.0
195,1993.0,6154.0,740.228841367,0.0
196,1993.0,6155.0,738.952186318,0.0
197,1993.0,6156.0,700.142506114,0.0
198,1993.0,6157.0,700.142506114,0.0
199,1993.0,6158.0,649.235875616,0.0
200,1993.0,6159.0,649.235875616,0.0
201,1993.0,6160.0,740.435234719,0.0
202,1993.0,6161.0,740.435234719,0.0
203,1993.0,6162.0,700.142506114,0.0
204,1993.0,6163.0,700.142506114,0.0
205,1993.0,6164.0,700.142506114,0.0
206,1993.0,6165.0,700.142506114,0.0
207,1993.0,6166.0,700.142506114,0.0
208,1993.0,6167.0,700.142506114,0.0
209,1993.0,6168.0,700.142506114,0.0
210,1993.0,6169.0,707.90594505,0.0
211,1993.0,6170.0,700.831871768,0.0
212,1993.0,6171.0,700.142506114,0.0
213,1993.0,6172.0,700.142506114,0.0
214,1993.0,6173.0,700.142506114,0.0
215,1993.0,6174.0,740.435234719,0.0
216,1993.0,6175.0,740.435234719,0.0
217,1993.0,6176.0,740.435234719,0.0
218,1993.0,6177.0,740.435234719,0.0
219,1993.0,6178.0,730.380522356,0.0
220,1993.0,6179.0,739.661808094,0.0
221,1993.0,6180.0,740.435234719,0.0
222,1993.0,6181.0,740.435234719,0.0
223,1993.0,6182.0,729.231259201,0.0
224,1993.0,6183.0,740.435234719,0.0
225,1993.0,6184.0,740.435234719,0.0
226,1993.0,6185.0,713.59927807,0.0
227,1993.0,6186.0,730.235898659,0.0
228,1993.0,6187.0,740.435234719,0.0
229,1993.0,6188.0,740.435234719,0.0
230,1993.0,6189.0,740.435234719,0.0
231,1993.0,6190.0,740.435234719,0.0
232,1993.0,6191.0,740.435234719,0.0
233,1993.0,6192.0,726.66840201,0.0
234,1993.0,6193.0,726.66840201,0.0
235,1993.0,6194.0,726.66840201,0.0
236,1993.0,6195.0,726.66840201,0.0
237,1993.0,6196.0,726.66840201,0.0
238,1993.0,6197.0,726.66840201,0.0
239,1993.0,6198.0,726.66840201,0.0
240,1993.0,6199.0,726.66840201,0.0
241,1993.0,6200.0,726.66840201,0.0
242,1993.0,6201.0,726.66840201,0.0
243,1993.0,6202.0,726.66840201,0.0
244,1993.0,6203.0,726.66840201,0.0
245,1993.0,6204.0,726.66840201,0.0
246,1993.0,6205.0,726.66840201,0.0
247,1993.0,6206.0,740.435234719,0.0
248,1993.0,6207.0,740.435234719,0.0
249,1993.0,6208.0,740.435234719,0.0
250,1993.0,6209.0,700.142506114,0.0
251,1993.0,6210.0,740.435234719,0.0
252,1993.0,6211.0,740.435234719,0.0
253,1993.0,6212.0,700.142506114,0.0
254,1993.0,6213.0,706.394245925,0.0
255,1993.0,6214.0,700.142506114,0.0
256,1993.0,6215.0,700.142506114,0.0
257,1993.0,6216.0,726.66840201,0.0
258,1993.0,6217.0,726.66840201,0.0
259,1993.0,6218.0,725.138490352,0.0
260,1993.0,6219.0,676.157076524,0.0
261,1993.0,6220.0,725.601607311,0.0
262,1993.0,6221.0,725.601607311,0.0
263,1993.0,6222.0,725.601607311,4.2734393232
264,1993.0,6223.0,725.601607311,0.0
265,1993.0,6224.0,725.601607311,0.0306584688
266,1993.0,6225.0,725.601607311,0.0
267,1993.0,6226.0,725.601607311,0.0306584688
268,1993.0,6227.0,686.668744078,0.0
269,1993.0,6228.0,683.676877576,0.0
270,1993.0,6229.0,682.425035512,0.0
271,1993.0,6230.0,725.601607311,4.2734393232
272,1993.0,6231.0,725.601607311,0.0
273,1993.0,6232.0,682.115687278,4.2734393232
274,1993.0,6233.0,725.601607311,4.2734393232
275,1993.0,6234.0,727.140471093,0.0306584688
276,1993.0,6235.0,725.601607311,0.0
277,1993.0,6236.0,725.601607311,0.0
