"censusblock_id","tr10","tr50","tr500","tr100","tr25","tr2","tr5"
8138,0.6241736569,0.556996526,0.4667326699,0.5286299331,0.5902000807,0.7078399198,0.6598540707
8139,0.7100881362,0.6419714772,0.5577230216,0.6162537036,0.6719902418,0.7895028171,0.7422354853
8140,0.8713529128,0.8489250332,0.7851931387,0.825129645,0.859556022,0.9082881121,0.8861371522
8141,0.5133777468,0.40018416,0.3115210699,0.3507047936,0.4538489697,0.6259378896,0.5608563897
8142,0.8743013878,0.8199258251,0.745107699,0.7938808404,0.8401581025,0.923093595,0.897216245
8143,0.7658108918,0.6813897916,0.5601093556,0.6463081434,0.7207295773,0.8574226697,0.8092627038
8144,0.8257743218,0.7673330342,0.6869567331,0.7433320177,0.791811241,0.8963663642,0.8566330093
8145,0.8409066503,0.7767409867,0.6922719014,0.7515418979,0.8054785506,0.906329906,0.8689914737
8146,0.605720282,0.5299278704,0.4254614365,0.498074493,0.5626022485,0.6776709506,0.632899315
8147,0.7033739042,0.6260321993,0.5243222498,0.5916725885,0.6610435847,0.7713677849,0.7281902693
8148,0.7942585138,0.7532659315,0.6985552912,0.7284933402,0.7723919981,0.8430421373,0.8123511618
8149,0.7297739811,0.6321321123,0.4963160634,0.58992484,0.6759591328,0.8280749698,0.7715183934
8150,0.7699134413,0.676001767,0.5481457168,0.6374624949,0.7183192601,0.8580848299,0.807388376
8151,0.868672236,0.8068344506,0.7282353903,0.7819351937,0.8364657058,0.9221978526,0.8925707361
8152,0.7707467254,0.6850221425,0.5591829905,0.6458966882,0.720880176,0.8566896875,0.8086539672
8153,0.8659830504,0.8149780928,0.7404906837,0.7920720653,0.8375816862,0.9187072005,0.8864916993
8154,0.889198493,0.8531875237,0.7993470103,0.8367803888,0.8685354685,0.9258929344,0.9034952237
8155,0.8971985226,0.8566554668,0.8032763398,0.8419525681,0.8737322324,0.9343031486,0.9115782243
8156,0.6125716468,0.5323109191,0.4262376305,0.4971771674,0.5681129666,0.6931388217,0.6443019659
8157,0.5475510011,0.4637251856,0.3610617489,0.4187410305,0.5043476099,0.6297682591,0.579995618
8158,0.6063945678,0.5145839416,0.3927595935,0.4773154672,0.5591947928,0.7011013086,0.6476754905
